univerzita,dotacie,mzdy,dotacie-dokt,dotacie-stud,zamestnanci,int-dokt,dokt-abs,studenti,studenti-denni,publikacie,absolventi,ubyt-kap-sd,ubyt-studenti-sd,prispevok-sd,rok,publik‡cie,publikacie 07711,publikacie 07712,pub-podiel-07711,pub-podiel-07712
AU,3516930.0,1487361,0.0,64124,,26,,548.0,497.0,,,136.0,108.0,6912.0,2016,,,,0.168517524,0.05641187
KU,11546957.0,4310846,0.0,910995,,134,,6016.0,3939.0,,,678.0,359.0,17920.0,2016,,,,2.971539173,2.471473722
UJS,3549180.0,1337832,0.0,494675,,15,,1773.0,1265.0,,,413.0,372.0,29760.0,2016,,,,1.058500696,0.908386611
UK,98604885.0,29343511,,10563775,,1091,,25694.0,18420.0,,,10891.0,10067.0,803968.0,2017,,,,24.15143883,26.22270614
UPJŠ,28637711.0,9021297,,2375637,,325,,7576.0,5352.0,,,1776.0,1527.0,119968.0,2017,,,,8.147619654,8.725830668
PU,21700934.0,7513376,,3544213,,144,,9238.0,6664.0,,,1933.0,1946.0,155680.0,2017,,,,5.133501716,4.040916781
UCM,11392966.0,4485974,,994500,,106,,6185.0,4311.0,,,224.0,202.0,6464.0,2017,,,,2.837677778,2.618140035
UVL,12929318.0,5456897,,756338,,88,,2242.0,2010.0,,,901.0,770.0,61600.0,2017,,,,1.907289707,1.988153353
UKF,21360450.0,7675552,,2252489,,197,,9153.0,6555.0,,,1643.0,1643.0,131440.0,2017,,,,4.861426554,4.174987775
UMB,19964461.0,6888071,,2061279,,177,,9098.0,6246.0,,,2434.0,2272.0,174080.0,2017,,,,4.453780891,3.642025937
TVU,11098001.0,3850832,,907098,,60,,5176.0,3381.0,,,316.0,292.0,9344.0,2017,,,,3.182189547,2.436932289
STU,59619768.0,17936425,,6483871,,596,,14397.0,12073.0,,,6550.0,5542.0,440384.0,2017,,,,12.35318548,14.19275265
TUKE,39727142.0,12644677,,4378338,,346,,9719.0,7959.0,,,4986.0,4049.0,323920.0,2017,,,,11.12203564,11.49976802
ŽU,32477817.0,10321701,,3855574,,302,,9763.0,7762.0,,,5032.0,4097.0,283072.0,2017,,,,4.887154977,5.225980913
TUAD,6157550.0,2117193,,427103,,24,,2707.0,1766.0,,,215.0,117.0,9360.0,2017,,,,1.318922302,1.30409332
EU,18790968.0,6667616,,2470133,,149,,8546.0,6591.0,,,2792.0,2466.0,165408.0,2017,,,,3.900483546,3.523768375
SPU,22983081.0,7945808,,2654280,,148,,8323.0,6160.0,,,2736.0,2608.0,195488.0,2017,,,,4.108763117,4.115127912
TUZVO,11834689.0,3830587,,1106558,,82,,3484.0,2445.0,,,1434.0,1155.0,92400.0,2017,,,,3.170668196,3.010587951
VŠMU,6967825.0,2716198,,140324,,36,,1017.0,877.0,,,0.0,0.0,0.0,2017,,,,0.226884996,0.063090944
VŠVU,4130565.0,1574099,,117869,,27,,640.0,557.0,,,0.0,0.0,0.0,2017,,,,0.248643225,0.052545487
AU,3899515.0,1585960,,100916,,26,,552.0,496.0,,,136.0,108.0,6912.0,2017,,,,0.166553594,0.048320707
KU,10826815.0,3882266,,1319256,,111,,4771.0,3103.0,,,665.0,322.0,15344.0,2017,,,,2.568677571,2.050774252
UJS,3695898.0,1435601,,474320,,17,,1734.0,1253.0,,,413.0,371.0,29680.0,2017,,,,1.253102688,1.0634965
UK,103051867.0,32723046,,10004050,,990,,24445.0,17632.0,,,10882.0,9740.0,718224.0,2018,,,,24.69585858,27.23966311
UPJŠ,32298167.0,10262805,,2324348,,345,,7449.0,5113.0,,,1776.0,1702.0,130944.0,2018,,,,8.722792247,9.99609899
PU,23202487.0,8553963,,3345616,,135,,9153.0,6782.0,,,1933.0,1947.0,155760.0,2018,,,,5.371017524,3.673429203
UCM,11764367.0,4959662,,894425,,104,,6147.0,4200.0,,,224.0,204.0,6528.0,2018,,,,2.749673775,2.475623829
