univerzita;fakulta;typ;rok;spolu full-time;spolu part-time;ženy full-time;ženy part-time
STREDOEURÓPSKA VŠ;Ekonomická fakulta SEVŠ;súkromná;2010;48;0;22;0
VŠ MEDZIN.PODNIKANIA;Ekonomická fakulta ISM;súkromná;2010;32;1;17;1
VŠ BEZPEČN. MANAŽÉRSTVA;FA bezpečn. manažérstva;súkromná;2010;87;0;30;0
SLOV.ZDRAVOTNÍCKA UNIV.;SZU - rektorát;štátna;2010;32;41;19;15
SLOV.ZDRAVOTNÍCKA UNIV.;Fa ošetr.,zdrav.odb.štú;štátna;2010;35;18;28;13
SLOV.ZDRAVOTNÍCKA UNIV.;Lekárska fakulta;štátna;2010;90;171;37;73
SLOV.ZDRAVOTNÍCKA UNIV.;Fa verejného zdravotn.;štátna;2010;29;6;18;5
SLOV.ZDRAVOTNÍCKA UNIV.;Fa zdravotníctva;štátna;2010;16;5;11;1
AKADÉMIA OZBROJ.SÍL;Vojenská fakulta AOS;štátna;2010;69;0;10;0
AKADÉMIA POLIC.ZBORU;Fa Polic.zboru (fikt.);štátna;2010;93;4;41;1
UNIVERZITA KOMENSKÉHO;Rímskokat.bohosl.fak.UK;verejná;2011;28;43;3;7
UNIVERZITA KOMENSKÉHO;Evanj. bohosl. fak. UK;verejná;2011;13;4;5;1
UNIVERZITA KOMENSKÉHO;Fa matem.fyz. a inf. UK;verejná;2011;185;13;48;2
UNIVERZITA KOMENSKÉHO;Prírodovedecká fak. UK;verejná;2011;254;30;102;8
UNIVERZITA KOMENSKÉHO;Fakulta managementu UK;verejná;2011;66;43;37;17
